,date,remote work,work from home,remote job,hybrid work
0,2024-02-11,26,89,16,4
1,2024-02-18,26,90,19,4
2,2024-02-25,26,95,18,4
3,2024-03-03,26,90,17,4
4,2024-03-10,25,91,16,4
5,2024-03-17,26,86,17,4
6,2024-03-24,24,85,16,4
7,2024-03-31,25,92,16,4
8,2024-04-07,26,88,16,4
9,2024-04-14,27,90,17,4
10,2024-04-21,29,91,17,4
11,2024-04-28,25,94,17,4
12,2024-05-05,25,87,16,4
13,2024-05-12,25,92,16,4
14,2024-05-19,25,86,15,4
15,2024-05-26,25,93,18,4
16,2024-06-02,24,89,16,4
17,2024-06-09,26,94,18,4
18,2024-06-16,26,95,19,4
19,2024-06-23,25,96,18,4
20,2024-06-30,24,90,16,3
21,2024-07-07,26,94,18,4
22,2024-07-14,27,94,18,4
23,2024-07-21,27,100,20,4
24,2024-07-28,27,93,19,4
25,2024-08-04,26,97,19,4
26,2024-08-11,29,97,20,4
27,2024-08-18,29,99,19,4
28,2024-08-25,27,94,20,4
29,2024-09-01,27,89,19,4
30,2024-09-08,25,90,17,4
31,2024-09-15,27,93,18,4
32,2024-09-22,27,94,18,4
33,2024-09-29,26,84,17,4
34,2024-10-06,26,80,17,4
35,2024-10-13,26,84,17,4
36,2024-10-20,26,85,17,4
37,2024-10-27,25,77,16,4
38,2024-11-03,26,83,17,4
39,2024-11-10,28,91,18,4
40,2024-11-17,30,89,18,4
41,2024-11-24,23,73,14,4
42,2024-12-01,28,85,16,4
43,2024-12-08,29,83,15,4
44,2024-12-15,26,80,15,4
45,2024-12-22,22,69,12,3
46,2024-12-29,27,89,17,3
47,2025-01-05,32,94,21,5
48,2025-01-12,31,95,21,5
49,2025-01-19,41,94,19,5
50,2025-01-26,33,90,20,4
51,2025-02-02,31,84,20,5
52,2025-02-09,30,84,20,5
